Date,Total,year,month,quarter
2002-01-01,1016824.0,2002,1,1
2002-02-01,800968.0,2002,2,1
2002-03-01,989281.0,2002,3,1
2002-04-01,1008127.0,2002,4,2
2002-05-01,1034204.0,2002,5,2
2002-06-01,961798.0,2002,6,2
2002-07-01,1009937.0,2002,7,3
2002-08-01,969967.0,2002,8,3
2002-09-01,939843.0,2002,9,3
2002-10-01,1087870.0,2002,10,4
2002-11-01,1106310.0,2002,11,4
2002-12-01,1056617.0,2002,12,4
2003-01-01,1072625.0,2003,1,1
2003-02-01,973239.0,2003,2,1
2003-03-01,1023859.0,2003,3,1
2003-04-01,1043653.0,2003,4,2
2003-05-01,1072639.0,2003,5,2
2003-06-01,1031917.0,2003,6,2
2003-07-01,834644.0,2003,7,3
2003-08-01,1050021.0,2003,8,3
2003-09-01,1018335.0,2003,9,3
2003-10-01,1055321.0,2003,10,4
2003-11-01,990571.0,2003,11,4
2003-12-01,1069506.0,2003,12,4
2004-01-01,1046379.0,2004,1,1
2004-02-01,1015719.0,2004,2,1
2004-03-01,1090425.0,2004,3,1
2004-04-01,1048178.0,2004,4,2
2004-05-01,989738.0,2004,5,2
2004-06-01,1008789.0,2004,6,2
2004-07-01,987405.0,2004,7,3
2004-08-01,1026555.0,2004,8,3
2004-09-01,954599.0,2004,9,3
2004-10-01,970035.0,2004,10,4
2004-11-01,947556.0,2004,11,4
2004-12-01,966237.0,2004,12,4
2005-01-01,968858.0,2005,1,1
2005-02-01,876163.0,2005,2,1
2005-03-01,1017632.0,2005,3,1
2005-04-01,960530.0,2005,4,2
2005-05-01,1121322.0,2005,5,2
2005-06-01,979851.0,2005,6,2
2005-07-01,954307.0,2005,7,3
2005-08-01,1017589.0,2005,8,3
2005-09-01,988932.0,2005,9,3
2005-10-01,986416.0,2005,10,4
2005-11-01,981834.0,2005,11,4
2005-12-01,998215.0,2005,12,4
2006-01-01,1000704.0,2006,1,1
2006-02-01,903376.0,2006,2,1
2006-03-01,1049242.0,2006,3,1
2006-04-01,969239.0,2006,4,2
2006-05-01,1028254.0,2006,5,2
2006-06-01,1008633.0,2006,6,2
2006-07-01,987285.0,2006,7,3
2006-08-01,1046933.0,2006,8,3
2006-09-01,869277.0,2006,9,3
2006-10-01,1024836.0,2006,10,4
2006-11-01,1294454.0,2006,11,4
2006-12-01,988238.0,2006,12,4
2007-01-01,1026919.0,2007,1,1
2007-02-01,909583.0,2007,2,1
2007-03-01,1032049.0,2007,3,1
2007-04-01,943554.0,2007,4,2
2007-05-01,980398.0,2007,5,2
2007-06-01,1037188.0,2007,6,2
2007-07-01,966236.0,2007,7,3
2007-08-01,998714.0,2007,8,3
2007-09-01,953893.0,2007,9,3
2007-10-01,998452.0,2007,10,4
2007-11-01,978889.0,2007,11,4
2007-12-01,935637.0,2007,12,4
2008-01-01,982444.0,2008,1,1
2008-02-01,925595.0,2008,2,1
2008-03-01,973202.0,2008,3,1
2008-04-01,968045.0,2008,4,2
2008-05-01,962556.0,2008,5,2
2008-06-01,943629.0,2008,6,2
2008-07-01,980096.0,2008,7,3
2008-08-01,964220.0,2008,8,3
2008-09-01,943805.0,2008,9,3
2008-10-01,996485.0,2008,10,4
2008-11-01,909217.0,2008,11,4
2008-12-01,980847.0,2008,12,4
2009-01-01,971202.0,2009,1,1
2009-02-01,901469.0,2009,2,1
2009-03-01,975414.0,2009,3,1
2009-04-01,955818.0,2009,4,2
2009-05-01,949527.0,2009,5,2
2009-06-01,951283.0,2009,6,2
2009-07-01,979952.0,2009,7,3
2009-08-01,953472.0,2009,8,3
2009-09-01,934192.0,2009,9,3
2009-10-01,965723.0,2009,10,4
2009-11-01,912635.0,2009,11,4
2009-12-01,965840.0,2009,12,4
2010-01-01,931724.0,2010,1,1
2010-02-01,857368.0,2010,2,1
2010-03-01,982668.0,2010,3,1
2010-04-01,942040.0,2010,4,2
2010-05-01,928231.0,2010,5,2
2010-06-01,942689.0,2010,6,2
2010-07-01,895864.0,2010,7,3
2010-08-01,853728.0,2010,8,3
2010-09-01,819110.0,2010,9,3
2010-10-01,836119.0,2010,10,4
2010-11-01,804725.0,2010,11,4
2010-12-01,836119.0,2010,12,4
2011-01-01,804404.0,2011,1,1
2011-02-01,770385.0,2011,2,1
2011-03-01,865532.0,2011,3,1
2011-04-01,819110.0,2011,4,2
2011-05-01,836119.0,2011,5,2
